margin_offset,probability
-60,0.000177210703526493
-59,0.000177210703526493
-58,0.000177210703526493
-57,0.000177210703526493
-56,0.000177210703526493
-55,0.000177210703526493
-54,0.000177210703526493
-53,0.000177210703526493
-52,0.000177210703526493
-51,0.000177210703526493
-50,0.000177210703526493
-49,0.000177210703526493
-48,0.000531632110579479
-47,0.000177210703526493
-46,0.000531632110579479
-45,0.000177210703526493
-44,0.000177210703526493
-43,0.000177210703526493
-42,0.000177210703526493
-41,0.000177210703526493
-40,0.000531632110579479
-39,0.000531632110579479
-38,0.000177210703526493
-37,0.000531632110579479
-36,0.001594896331738437
-35,0.002303739145844409
-34,0.001594896331738437
-33,0.001240474924685451
-32,0.000886053517632465
-31,0.002303739145844409
-30,0.001240474924685451
-29,0.002658160552897395
-28,0.001949317738791423
-27,0.003367003367003367
-26,0.002658160552897395
-25,0.004075846181109339
-24,0.004430267588162325
-23,0.005139110402268297
-22,0.006556796030480241
-21,0.005847953216374269
-20,0.009392167286904129
-19,0.010809852915116073
-18,0.009037745879851143
-17,0.011164274322169059
-16,0.011164274322169059
-15,0.016126174020910863
-14,0.019670388091440724
-13,0.015771752613857878
-12,0.021088073719652666
-11,0.021442495126705652
-10,0.02073365231259968
-9,0.028530923267765372
-8,0.02356902356902357
-7,0.02711323763955343
-6,0.0278220804536594
-5,0.023923444976076555
-4,0.03313840155945419
-3,0.031366294524189264
-2,0.029948608895977318
-1,0.04093567251461988
0,0.04164451532872585
1,0.03313840155945419
2,0.026049973418394472
3,0.028176501860712386
4,0.029239766081871343
5,0.03597377281587808
6,0.026049973418394472
7,0.03065745171008329
8,0.026758816232500444
9,0.019670388091440724
10,0.01789828105617579
11,0.022505759347864612
12,0.018252702463228777
13,0.014354066985645933
14,0.01187311713627503
15,0.011518695729222045
16,0.010809852915116073
17,0.009037745879851143
18,0.011518695729222045
19,0.008683324472798157
20,0.006911217437533227
21,0.007265638844586213
22,0.007265638844586213
23,0.005139110402268297
24,0.006911217437533227
25,0.005493531809321283
26,0.004430267588162325
27,0.006556796030480241
28,0.005493531809321283
29,0.002658160552897395
30,0.003367003367003367
31,0.001240474924685451
32,0.003367003367003367
33,0.001240474924685451
34,0.001240474924685451
35,0.001594896331738437
36,0.001240474924685451
37,0.000531632110579479
38,0.000531632110579479
39,0.000886053517632465
40,0.000886053517632465
41,0.001594896331738437
42,0.000531632110579479
43,0.000177210703526493
44,0.000177210703526493
45,0.000177210703526493
46,0.000177210703526493
47,0.000177210703526493
48,0.000177210703526493
49,0.000177210703526493
50,0.000177210703526493
51,0.000177210703526493
52,0.000177210703526493
53,0.000177210703526493
54,0.000177210703526493
55,0.000177210703526493
56,0.000177210703526493
57,0.000177210703526493
58,0.000177210703526493
59,0.000177210703526493
60,0.000177210703526493
