season,team_abbr,gsis_id,reference_basis,source_as_of
2020,ATL,00-0026143,week_1_proxy,
2020,BAL,00-0034796,week_1_proxy,
2020,BUF,00-0034857,week_1_proxy,
2020,CAR,00-0031237,week_1_proxy,
2020,CHI,00-0033869,week_1_proxy,
2020,CIN,00-0036442,week_1_proxy,
2020,CLE,00-0034855,week_1_proxy,
2020,DAL,00-0033077,week_1_proxy,
2020,DEN,00-0035704,week_1_proxy,
2020,DET,00-0026498,week_1_proxy,
2020,GB,00-0023459,week_1_proxy,
2020,HOU,00-0033537,week_1_proxy,
2020,IND,00-0022942,week_1_proxy,
2020,JAX,00-0035289,week_1_proxy,
2020,KC,00-0033873,week_1_proxy,
2020,LA,00-0033106,week_1_proxy,
2020,LAC,00-0028118,week_1_proxy,
2020,LV,00-0031280,week_1_proxy,
2020,MIA,00-0023682,week_1_proxy,
2020,MIN,00-0029604,week_1_proxy,
2020,NE,00-0027939,week_1_proxy,
2020,NO,00-0020531,week_1_proxy,
2020,NYG,00-0035710,week_1_proxy,
2020,NYJ,00-0034869,week_1_proxy,
2020,PHI,00-0032950,week_1_proxy,
2020,PIT,00-0022924,week_1_proxy,
2020,SEA,00-0029263,week_1_proxy,
2020,SF,00-0031345,week_1_proxy,
2020,TB,00-0019596,week_1_proxy,
2020,TEN,00-0029701,week_1_proxy,
2020,WAS,00-0035232,week_1_proxy,
2021,ARI,00-0035228,week_1_proxy,
2021,ATL,00-0026143,week_1_proxy,
2021,BAL,00-0034796,week_1_proxy,
2021,BUF,00-0034857,week_1_proxy,
2021,CAR,00-0034869,week_1_proxy,
2021,CHI,00-0027973,week_1_proxy,
2021,CIN,00-0036442,week_1_proxy,
2021,CLE,00-0034855,week_1_proxy,
2021,DAL,00-0033077,week_1_proxy,
2021,DEN,00-0031237,week_1_proxy,
2021,DET,00-0033106,week_1_proxy,
2021,GB,00-0023459,week_1_proxy,
2021,HOU,00-0028118,week_1_proxy,
2021,IND,00-0032950,week_1_proxy,
2021,JAX,00-0036971,week_1_proxy,
2021,KC,00-0033873,week_1_proxy,
2021,LA,00-0026498,week_1_proxy,
2021,LAC,00-0036355,week_1_proxy,
2021,LV,00-0031280,week_1_proxy,
2021,MIA,00-0036212,week_1_proxy,
2021,MIN,00-0029604,week_1_proxy,
2021,NE,00-0036972,week_1_proxy,
2021,NO,00-0031503,week_1_proxy,
2021,NYG,00-0035710,week_1_proxy,
2021,NYJ,00-0037013,week_1_proxy,
2021,PHI,00-0036389,week_1_proxy,
2021,PIT,00-0022924,week_1_proxy,
2021,SEA,00-0029263,week_1_proxy,
2021,SF,00-0031345,week_1_proxy,
2021,TB,00-0019596,week_1_proxy,
2021,TEN,00-0029701,week_1_proxy,
2021,WAS,00-0023682,week_1_proxy,
2022,ARI,00-0035228,week_1_proxy,
2022,ATL,00-0032268,week_1_proxy,
2022,BAL,00-0034796,week_1_proxy,
2022,BUF,00-0034857,week_1_proxy,
2022,CAR,00-0034855,week_1_proxy,
2022,CHI,00-0036945,week_1_proxy,
2022,CIN,00-0036442,week_1_proxy,
2022,CLE,00-0033119,week_1_proxy,
2022,DAL,00-0033077,week_1_proxy,
2022,DEN,00-0029263,week_1_proxy,
2022,DET,00-0033106,week_1_proxy,
2022,GB,00-0023459,week_1_proxy,
2022,HOU,00-0036898,week_1_proxy,
2022,IND,00-0026143,week_1_proxy,
2022,JAX,00-0036971,week_1_proxy,
2022,KC,00-0033873,week_1_proxy,
2022,LA,00-0026498,week_1_proxy,
2022,LAC,00-0036355,week_1_proxy,
2022,LV,00-0031280,week_1_proxy,
2022,MIA,00-0036212,week_1_proxy,
2022,MIN,00-0029604,week_1_proxy,
2022,NE,00-0036972,week_1_proxy,
2022,NO,00-0033357,week_1_proxy,
2022,NYG,00-0035710,week_1_proxy,
2022,NYJ,00-0026158,week_1_proxy,
2022,PHI,00-0036389,week_1_proxy,
2022,PIT,00-0033869,week_1_proxy,
2022,SEA,00-0030565,week_1_proxy,
2022,SF,00-0037012,week_1_proxy,
2022,TB,00-0019596,week_1_proxy,
2022,TEN,00-0029701,week_1_proxy,
2022,WAS,00-0032950,week_1_proxy,
2023,ARI,00-0033949,week_1_proxy,
2023,ATL,00-0038122,week_1_proxy,
2023,BAL,00-0034796,week_1_proxy,
2023,BUF,00-0034857,week_1_proxy,
2023,CAR,00-0039150,week_1_proxy,
2023,CHI,00-0036945,week_1_proxy,
2023,CIN,00-0036442,week_1_proxy,
2023,CLE,00-0033537,week_1_proxy,
2023,DAL,00-0033077,week_1_proxy,
2023,DEN,00-0029263,week_1_proxy,
2023,DET,00-0033106,week_1_proxy,
2023,GB,00-0036264,week_1_proxy,
2023,HOU,00-0039163,week_1_proxy,
2023,IND,00-0039164,week_1_proxy,
2023,JAX,00-0036971,week_1_proxy,
2023,KC,00-0033873,week_1_proxy,
2023,LA,00-0026498,week_1_proxy,
2023,LAC,00-0036355,week_1_proxy,
2023,LV,00-0031345,week_1_proxy,
2023,MIA,00-0036212,week_1_proxy,
2023,MIN,00-0029604,week_1_proxy,
2023,NE,00-0036972,week_1_proxy,
2023,NO,00-0031280,week_1_proxy,
2023,NYG,00-0035710,week_1_proxy,
2023,NYJ,00-0023459,week_1_proxy,
2023,PHI,00-0036389,week_1_proxy,
2023,PIT,00-0038102,week_1_proxy,
2023,SEA,00-0030565,week_1_proxy,
2023,SF,00-0037834,week_1_proxy,
2023,TB,00-0034855,week_1_proxy,
2023,TEN,00-0029701,week_1_proxy,
2023,WAS,00-0037077,week_1_proxy,
2024,ARI,00-0035228,week_1_proxy,
2024,ATL,00-0029604,week_1_proxy,
2024,BAL,00-0034796,week_1_proxy,
2024,BUF,00-0034857,week_1_proxy,
2024,CAR,00-0039150,week_1_proxy,
2024,CHI,00-0039918,week_1_proxy,
2024,CIN,00-0036442,week_1_proxy,
2024,CLE,00-0033537,week_1_proxy,
2024,DAL,00-0033077,week_1_proxy,
2024,DEN,00-0039732,week_1_proxy,
2024,DET,00-0033106,week_1_proxy,
2024,GB,00-0036264,week_1_proxy,
2024,HOU,00-0039163,week_1_proxy,
2024,IND,00-0039164,week_1_proxy,
2024,JAX,00-0036971,week_1_proxy,
2024,KC,00-0033873,week_1_proxy,
2024,LA,00-0026498,week_1_proxy,
